resume: 0 verified UNSAT leaves already on record; 0 earlier CAP rows honoured
instance k211k24_n26_lex.cnf: p cnf 115775 227150 | top cubes 402 | cap 120s | resplit depth 8 | par 16
=== LEVEL 0: 402 cubes, 402 to solve ===
{'id': '149', 'result': 'UNSAT', 'secs': 0.9, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1880842, 'vnote': 'check rc0'}
{'id': '156', 'result': 'UNSAT', 'secs': 0.2, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 434379, 'vnote': 'check rc0'}
{'id': '129', 'result': 'UNSAT', 'secs': 7.1, 'nlits': 10, 'verified': True, 'vsecs': 0.6, 'raw_bytes': 28020594, 'vnote': 'check rc0'}
{'id': '158', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 512598, 'vnote': 'check rc0'}
{'id': '140', 'result': 'UNSAT', 'secs': 3.2, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 17498080, 'vnote': 'check rc0'}
{'id': '159', 'result': 'UNSAT', 'secs': 0.6, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1815850, 'vnote': 'check rc0'}
{'id': '162', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 8, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2416840, 'vnote': 'check rc0'}
{'id': '163', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 8, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2319107, 'vnote': 'check rc0'}
{'id': '164', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1410440, 'vnote': 'check rc0'}
{'id': '126', 'result': 'UNSAT', 'secs': 9.6, 'nlits': 10, 'verified': True, 'vsecs': 0.8, 'raw_bytes': 34847316, 'vnote': 'check rc0'}
{'id': '166', 'result': 'UNSAT', 'secs': 0.2, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 267072, 'vnote': 'check rc0'}
{'id': '165', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 2410689, 'vnote': 'check rc0'}
{'id': '152', 'result': 'UNSAT', 'secs': 2.6, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 14614125, 'vnote': 'check rc0'}
